tx_key,account,cost_basis_account,fee_account,fx_account_per_ccy,pru_after,note
cto|2026-08-19|IPH.PA|BUY|155|1.43|EUR|#1,cto,221.71,0,,,Migration automatique V5.4 -> V5.5
cto|2026-08-19|XRXDW|BUY|35|0.01|USD|#1,cto,0.29,0,,,Migration automatique V5.4 -> V5.5
cto|2026-08-19|VLA.PA|BUY|5|2.1975|EUR|#1,cto,10.99,0,,,Migration automatique V5.4 -> V5.5
cto|2026-08-19|SAN.PA|BUY|1|74.55|EUR|#1,cto,74.55,0,,,Migration automatique V5.4 -> V5.5
cto|2026-08-19|TE.PA|BUY|2|29.64|EUR|#1,cto,59.28,0,,,Migration automatique V5.4 -> V5.5
cto|2026-08-19|RNO.PA|BUY|2|28.565|EUR|#1,cto,57.13,0,,,Migration automatique V5.4 -> V5.5
cto|2026-08-19|ALO.PA|BUY|2|15.9|EUR|#1,cto,31.8,0,,,Migration automatique V5.4 -> V5.5
cto|2026-08-19|PRAR.DE|BUY|5|17.9225|EUR|#1,cto,89.61,0,,,Migration automatique V5.4 -> V5.5
cto|2026-08-19|VK.PA|BUY|1|18.71|EUR|#1,cto,18.71,0,,,Migration automatique V5.4 -> V5.5
cto|2026-08-19|GRAB|BUY|14|3.56|USD|#1,cto,43.38,0,,,Migration automatique V5.4 -> V5.5
cto|2026-08-19|FRVIA.PA|BUY|7|9.186|EUR|#1,cto,64.31,0,,,Migration automatique V5.4 -> V5.5
cto|2026-08-19|BX4.PA|BUY|121|0.6386|EUR|#1,cto,77.26,0,,,Migration automatique V5.4 -> V5.5
cto|2026-08-24|XRX|BUY|10|2.88|USD|#1,cto,,0,0.8573461707,2.88,Migration automatique V5.4 -> V5.5
cto|2026-08-28|IPH.PA|SELL|15|1.892|EUR|#1,cto,,0,,1.172,Migration automatique V5.4 -> V5.5
cto|2026-09-01|TE.PA|SELL|2|32.24|EUR|#1,cto,59.28,0,,,Migration automatique V5.4 -> V5.5
cto|2026-09-01|BX4.PA|SELL|30|0.6082|EUR|#1,cto,18.165,0,,,Migration automatique V5.4 -> V5.5
cto|2026-09-01|BX4.PA|SELL|36|0.6084|EUR|#1,cto,21.798,0,,0.6790,Migration automatique V5.4 -> V5.5
cto|2026-09-03|VLA.PA|SELL|5|3.034|EUR|#1,cto,10.99,0,,,Migration automatique V5.4 -> V5.5
pea|2026-08-19|WPEA.PA|BUY|70|6.818|EUR|#1,pea,477.27,0,,,Migration automatique V5.4 -> V5.5
pea|2026-08-19|ETZD.PA|BUY|8|18.495|EUR|#1,pea,147.96,0,,,Migration automatique V5.4 -> V5.5
pea|2026-08-19|PAEEM.PA|BUY|2|34.8775|EUR|#1,pea,69.76,0,,,Migration automatique V5.4 -> V5.5
pea|2026-08-19|AWAT.PA|BUY|3|32.3683|EUR|#1,pea,97.11,0,,,Migration automatique V5.4 -> V5.5
etoro|2026-08-19|TLT|BUY|23.40331|88.49171|USD|#1,etoro,2070.95,0,1,,Migration automatique V5.4 -> V5.5
etoro|2026-08-19|TMF|BUY|12.02082|39.88245|USD|#1,etoro,479.37,0,1,,Migration automatique V5.4 -> V5.5
etoro|2026-08-19|WEXU.DE|BUY|6.273862|13.5483|USD|#1,etoro,85.0,0,1,,Migration automatique V5.4 -> V5.5
cto|2026-09-04|XRX|SELL|10|3.36|USD|#1,cto,,,0.8604299194,,FX historique 04/09/2026 figé pour vente Xerox
