ticker,zonebourse_url,boursorama_url,investing_url,watch_terms
IPH.PA,https://www.zonebourse.com/cours/action/INNATE-PHARMA-35620/actualite/,https://www.boursorama.com/cours/actualites/1rPIPH/,https://fr.investing.com/equities/innate-pharma-news,lacutamab|IPH4502|IPH6501|IPH6101|monalizumab|Tellomak|Sobi lacutamab
VLA.PA,https://www.zonebourse.com/cours/action/VALNEVA-SE-54466/actualite/,https://www.boursorama.com/cours/actualites/1rPVLA/,https://fr.investing.com/equities/valneva-news,IXCHIQ|VLA15|VLA1553|Lyme vaccine Valneva
SAN.PA,https://www.zonebourse.com/cours/action/SANOFI-4698/actualite/,https://www.boursorama.com/cours/actualites/1rPSAN/,https://fr.investing.com/equities/sanofi-aventis-news,plozasiran|Dupixent|tolebrutinib|amlitelimab|riliprubart|Nuvaxovid Sanofi
TE.PA,https://www.zonebourse.com/cours/action/TECHNIP-ENERGIES-N-V-119472942/actualite/,https://www.boursorama.com/cours/actualites/1rPTE/,https://fr.investing.com/equities/technip-energies-bv-news,EPR2 Technip Energies|Arctic LNG 2 Technip Energies
RNO.PA,https://www.zonebourse.com/cours/action/RENAULT-4688/actualite/,https://www.boursorama.com/cours/actualites/1rPRNO/,https://fr.investing.com/equities/renault-news,Dacia|Alpine Renault|Ampere Renault|Horse Powertrain|Mobilize Renault
ALO.PA,https://www.zonebourse.com/cours/action/ALSTOM-120790097/actualite/,https://www.boursorama.com/cours/actualites/1rPALO/,https://fr.investing.com/equities/alstom-news,Avelia|TGV M|Metropolis Alstom|Citadis|Traxx Alstom
VK.PA,https://www.zonebourse.com/cours/action/VALLOUREC-4723/actualite/,https://www.boursorama.com/cours/actualites/1rPVK/,https://fr.investing.com/equities/vallourec-news,VAM Vallourec|Vallourec New Energies
GRAB,https://www.zonebourse.com/cours/action/GRAB-HOLDINGS-LIMITED-130201011/actualite/,https://www.boursorama.com/cours/actualites/GRAB/,https://fr.investing.com/equities/grab-holdings-news,GrabFood|Grab Financial|GXS Bank
FRVIA.PA,https://www.zonebourse.com/cours/action/FORVIA-EX-FAURECIA-444838/actualite/,https://www.boursorama.com/cours/actualites/1rPFRVIA/,https://fr.investing.com/equities/faurecia-news,Faurecia|HELLA Forvia|Clarion Electronics
XRX,https://www.zonebourse.com/cours/action/XEROX-HOLDINGS-CORPORATIO-63181095/actualite/,https://www.boursorama.com/cours/actualites/XRX/,https://fr.investing.com/equities/xerox-corp-news,Lexmark Xerox|Xerox Lexmark
